"area_orig","area","counties","type","zone_ids"
"Picnic Point south to King Co line","","Snohomish","",NA
"Picnic Point south to the county line","","Snohomish","",NA
"Picnic Point south to the King county line","","Snohomish","",NA
"Picnic Point south to the King County line","","Snohomish","",NA
"Snohomish County","","Snohomish","",NA
"South Skagit Bay","","Snohomish","",NA
"Tulalip Bay south to the King County line","","Snohomish","",NA
"Tulalip Bay south to the King County Line","","Snohomish","",NA
"Boston Harbor and Squaxin Passage","","Thurston","",NA
"Budd Inlet","","Thurston","zone","62"
"Henderson Inlet and Dana Passage","","Thurston","",NA
"Johnson Pt south to the Pierce Co line","","Thurston","",NA
"Nisqually Reach","","Thurston","",NA
"Nisqually Reach south to the Pierce Co line","","Thurston","",NA
"Pierce Co line at Nisqually River north to Johnson Pt","","Thurston","",NA
"Thurston County","","Thurston","",NA
"All of Whatcom County","","Whatcom","",NA
"Bellingham Bay","","Whatcom","",NA
"Bellingham Bay including Larrabee State Park","","Whatcom","",NA
"Bellingham Bay south the Skagit County line, including Portage Bay and all of Larabee State Park","","Whatcom","",NA
"Bellingham Bay south to the Skagit County line","","Whatcom","",NA
"Bellingham Bay south to the Skagit County line, with the exception of Chuckanut Bay and Larrabee State Park","","Whatcom","",NA
"Bellingham Bay, including Portage Bay","","Whatcom","",NA
"Birch Bay","","Whatcom","zone","32"
"Birch Bay and Point Roberts","","Whatcom","",NA
"Birch Bay north to Canadian border","","Whatcom","",NA
"Birch Bay north to the Canadian border","","Whatcom","",NA
"Birch Bay north to the Canadian border, excluding Drayton Harbor","","Whatcom","",NA
"Birch Bay south to the Skagit County line","","Whatcom","",NA
"Birch Point north to the Canadian Border","","Whatcom","",NA
"Birch Point north to the Canadian border including Drayton Harbor and Point Roberts","","Whatcom","",NA
"Birch Point north to the Canadian border, including Point Roberts","","Whatcom","",NA
"Birch Point south to Sandy Point","","Whatcom","",NA
"Birch Point south to the county line","","Whatcom","",NA
"Chuckanut Bay and Larrabee State Park","","Whatcom","",NA
"Clark's Pt south to the southern part of Larabee St Park","","Whatcom","",NA
"Drayton Harbor","","Whatcom","zone","35"
"Drayton Harbor and Birch Bay","","Whatcom","",NA
"Drayton Harbor, Birch Bay and the Point Roberts areas","","Whatcom","",NA
"Drayton Harbor, Portage Bay, Point Roberts, Chuckanut Bay and Bellingham Bay south to the Skagit County line","","Whatcom","",NA
"Hale Passage from Portage Point north to the Canadian border including West
Lummi Island, Lummi Bay and Birch Bay","","Whatcom","",NA
"Hale Passage from Portage Point north to the Canadian border including West Lummi Ilsand, Birch Bay, Drayton Harbor and Point Roberts","","Whatcom","",NA
"Hale Passage from Portage Point north to the Canadian border including West Lummi Ilsand, Birch Bay, Drayton Harbor. Point Roberts remains closed","","Whatcom","",NA
"In Whatcom County, Point Whitehorn north to the Canadian border including Birch Bay, Drayton Harbor and Point Roberts","","Whatcom","",NA
"Lummi Bay","","Whatcom","zone","45.01"
"Point Whitehorn north to the Canadian border","","Whatcom","",NA
"Point Whitehorn north to the Canadian Border","","Whatcom","",NA
"Point Whitehorn to the Canadian border including Birch Bay, Drayton Harbor and Point Roberts","","Whatcom","",NA
"Portage Bay","","Whatcom","zone","31.01"
"Portage Bay and Hale Passage","","Whatcom","",NA
"Pt Whitehorn south to the Skagit Co line","","Whatcom","",NA
"Samdy Pt north to the Canadian border","","Whatcom","",NA
"Sandy Point north to Canadian border, including Drayton Harbor","","Whatcom","",NA
"Sandy Point north to the Canadian border","","Whatcom","",NA
"Sandy Point north to the Canadian Border including Birch Bay, Drayton Harbor and Point Roberts","","Whatcom","",NA
"Sandy Point north to the Canadian border, including Birch Bay","","Whatcom","",NA
"Sandy Point north to the Canadian border, including Point Roberts","","Whatcom","",NA
"Sandy Point south to the Skagit Co line","","Whatcom","",NA
"Sandy Point south to the Skagit County","","Whatcom","",NA
"Sandy Point south to the Skagit County line, including Larabee State Park and all of Lummi Island","","Whatcom","",NA
"The area north and west of Sandy Point","","Whatcom","",NA
"Whatcom Co from Sandy Point north to Canadian Border","","Whatcom","",NA
"Whatcom Co from Sandy Point to the Skagit Co line","","Whatcom","",NA
"Whatcom County","","Whatcom","",NA
"Whatcom County, except Bellingham Bay and Portage Bay","","Whatcom","",NA
"Whatcom County, except Drayton Harbor","","Whatcom","",NA
